Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
SBI Nifty Bank Index Fund Reg(G),Harsh Sethi,EQ-INDX,6.76,1.31,3.04,-2.31,-3.96,1.76,5.7,3.36,-0.35,-0.02,Equity : Index Funds
SBI Nifty Consumption ETF,Harsh Sethi,EQ-ETF,5.54,0.79,4.12,-0.68,2.87,-0.01,2.9,0.5,-1.49,-6.68,Equity : ETFs
SBI Nifty Index Fund Reg(G),Raviprakash Sharma,EQ-INDX,3.44,1.88,3.33,-2.81,-1.25,0.73,4.57,1.88,-0.32,-3.07,Equity : Index Funds
SBI Nifty India Consumption Index Fund Reg(G),Harsh Sethi,EQ-INDX,5.49,0.74,4.11,-0.73,2.82,-0.06,2.85,0.44,-1.54,-6.74,Equity : Index Funds
SBI Nifty IT ETF,Harsh Sethi,EQ-ETF,-2.85,4.7,4.52,-9.05,-0.35,-4.36,6.88,4.77,1.26,0.88,Equity : ETFs
SBI Nifty IT Index Fund Reg(G),Harsh Sethi,EQ-INDX,-2.91,4.64,4.42,-9.09,-0.44,-4.39,6.82,4.71,1.22,0.81,Equity : Index Funds
SBI Nifty Midcap 150 Index Fund Reg(G),Harsh Sethi,EQ-INDX,3.88,6.29,4.07,-2.8,-2.84,1.33,4.73,1.61,-0.6,-3.57,Equity : Index Funds
SBI Nifty Next 50 ETF,Raviprakash Sharma,EQ-ETF,2.32,3.53,3.48,-2.61,-1.79,3.17,2.97,-0.95,0.32,-2.18,Equity : ETFs
SBI Nifty Next 50 Index Fund Reg(G),Raviprakash Sharma,EQ-INDX,2.26,3.48,3.4,-2.66,-1.84,3.12,2.91,-0.99,0.27,-2.23,Equity : Index Funds
SBI Nifty Private Bank ETF,Harsh Sethi,EQ-ETF,6.67,0.45,2.68,-4.04,-3.6,1.54,5.99,2.62,-0.26,-0.6,Equity : ETFs
SBI Nifty Smallcap 250 Index Fund Reg(G),Harsh Sethi,EQ-INDX,1.61,9.56,5.7,-3.63,-3.64,1.06,3.67,-3.36,-0.36,-5.58,Equity : Index Funds
SBI Nifty100 Low Volatility 30 Index Fund Reg(G),Viral Chhadva,EQ-INDX,-,-,-,-,1.39,-1.71,3.67,1.89,0.33,-3.21,Equity : Index Funds
SBI Nifty200 Momentum 30 Index Fund Reg(G),Viral Chhadva,EQ-INDX,-,-,-,-,-1.9,0.63,5.29,2.17,-3.32,-2.71,Equity : Index Funds
SBI Nifty200 Quality 30 Index Fund Reg(G),Viral Chhadva,EQ-INDX,-,-,-,-3.75,1.06,-0.24,3.77,1.22,0.28,-1.82,Equity : Index Funds
SBI Nifty50 Equal Weight ETF,Viral Chhadva,EQ-ETF,3.4,2.42,3.82,-3.13,0.47,1.45,4.21,1.12,0.31,-1.86,Equity : ETFs
SBI Nifty50 Equal Weight Index Fund Reg(G),Viral Chhadva,EQ-INDX,3.34,2.35,3.77,-3.19,0.41,1.41,4.15,1.06,0.25,-1.92,Equity : Index Funds
SBI Overnight Fund Reg(G),Ranjana Gupta,DT-ON,0.48,0.48,0.43,0.44,0.45,0.44,0.45,0.43,0.44,0.44,Debt : Overnight
SBI PSU Fund Reg(G),Rohit Shimpi,EQ-THEM,3.13,3.46,2.12,-3.87,-3.22,6.57,4.25,-0.32,1,3.02,Equity : Thematic
SBI Quant Fund Reg(G),Sukanya Ghosh,EQ-THEM,1.65,1.3,5.41,-4.68,-3.16,3.02,3.93,2.65,2.94,0.48,Equity : Thematic
SBI Retirement Benefit Fund Aggressive Hybrid Plan Reg(G),Rohit Shimpi,HY-SOL,1.6,3.54,2.77,-1.78,-0.75,1.4,2.86,0.69,-0.32,-2.42,Hybrid : Solution Oriented
SBI Retirement Benefit Fund Aggressive Plan Reg(G),Rohit Shimpi,HY-SOL,1.73,4.3,3.05,-2.55,-1.26,0.85,3.39,0.38,-0.54,-4.03,Hybrid : Solution Oriented
SBI Retirement Benefit Fund Conservative Hybrid Plan Reg(G),Rohit Shimpi,HY-SOL,1.75,2.32,0.67,-1.02,-1.2,0.77,1.55,0.23,0.02,-1.6,Hybrid : Solution Oriented
SBI Retirement Benefit Fund Conservative Plan Reg(G),Rohit Shimpi,HY-SOL,1.78,1.78,-0.02,-0.49,-1.24,0.74,1.01,0.14,0.18,-0.82,Hybrid : Solution Oriented
SBI Savings Fund Reg(G),Rajeev Radhakrishnan,DT-MM,0.84,0.68,0.58,0.54,0.43,0.46,0.48,0.49,0.44,0.32,Debt : Money Market
SBI Short Term Debt Fund Reg(G),Mansi Sajeja,DT-SD,1.4,1.06,0.19,0.61,0.03,0.62,0.72,0.56,0.07,0.03,Debt : Short Duration
SBI Silver ETF,Vandna Soni,GOLD-ETF,-5.84,3.43,8.35,3.91,6.63,20.21,4.65,10.01,39.08,45.07,Gold : ETFs
SBI Silver ETF FOF Reg(G),Harsh Sethi,FOF-DOM,-6.22,3.07,8.46,4.28,6.07,21.07,4.12,9.69,37.59,28.79,FoFs : Domestic
SBI Small Cap Fund Reg(G),R. Srinivasan,EQ-SML,1.77,5.88,3.89,-1.48,-1.96,0,2.99,-2.49,-0.69,-5.47,Equity : Small Cap
SBI Technology Opp Fund Reg(G),Vivek Gedda,EQ-TECH,0.31,7.01,4.14,-3.72,1.15,-2.34,6.07,3.17,-0.35,-3.41,Equity : Sectoral - Technology
SBI Ultra Short Duration Fund Reg(G),Sudhir Agarwal,DT-USD,0.74,0.64,0.56,0.54,0.45,0.5,0.5,0.52,0.45,0.32,Debt : Ultra Short Duration
SBI US Specific Equity Active FoF Reg(G),Rohit Shimpi,FOF-OVR,-0.1,9.26,7.37,5.85,0.36,4.24,4.4,0.69,0.66,5.58,FoFs : Overseas
Shriram Aggressive Hybrid Fund Reg(G),Deepak Ramaraju,HY-EQ,2.3,1.51,3.41,-1.93,-1.77,1.26,3.32,1.16,-0.06,-2.67,Hybrid : Equity Oriented
Shriram Balanced Advantage Fund Reg(G),Deepak Ramaraju,HY-DYN,2.07,0.89,2.43,-2.41,-1.62,0.96,2.99,1.25,-0.12,-2.69,Hybrid : Dynamic Asset Allocation
Shriram ELSS Tax Saver Fund Reg(G),Deepak Ramaraju,EQ-ELSS,1.15,2,4.88,-2.59,-2.99,0.94,4.25,1.17,-0.66,-3.3,Equity : Tax Saving (ELSS)
Shriram Flexi Cap Fund Reg(G),Deepak Ramaraju,EQ-FLEX,1.19,1.37,4.86,-2.61,-2.96,0.9,4.24,1.18,-0.69,-3.31,Equity : Flexi Cap
Shriram Liquid Fund Reg(G),Amit Modani,DT-LIQ,0.51,0.52,0.47,0.46,0.46,0.45,0.46,0.46,0.48,0.44,Debt : Liquid
Shriram Multi Asset Allocation Fund Reg(G),Deepak Ramaraju,HY-MULTI,2.22,0.89,3.56,-2.52,-0.77,3.04,3.83,2,1.99,1.16,Hybrid : Multi Asset Allocation
Shriram Multi Sector Rotation Fund Reg(G),Deepak Ramaraju,EQ-THEM,-0.34,-0.66,4.59,-5.52,-4.24,3.41,4.41,1.73,-0.17,-2.46,Equity : Thematic
Shriram Nifty 1D Rate Liquid ETF,Amit Modani,DT-ETF,0.44,0.45,0.4,0.42,0.42,0.41,0.42,0.4,0.4,0.4,Debt : ETFs
Shriram Overnight Fund Reg(G),Amit Modani,DT-ON,0.46,0.47,0.43,0.44,0.45,0.43,0.45,0.43,0.44,0.43,Debt : Overnight
Sundaram Aggressive Hybrid Fund(G),S. Bharath,HY-EQ,3.21,1.53,1.96,-1.3,-1.57,1.12,3.01,1.33,-1,-2.16,Hybrid : Equity Oriented
Sundaram Arbitrage Fund(G),Rohit Seksaria,HY-ARB,0.66,0.4,0.51,0.48,0.38,0.32,0.45,0.55,0.55,0.54,Hybrid : Arbitrage
Sundaram Balanced Advantage Fund(G),S. Bharath,HY-DYN,2.72,1.34,1.71,-1.01,-1.34,1.06,2.67,1.1,-0.8,-1.76,Hybrid : Dynamic Asset Allocation
Sundaram Banking & PSU Fund(G),Sandeep Agarwal,DT-B&PSU,1.44,0.98,0.11,0.55,-0.08,0.7,0.76,0.48,0.13,-0.08,Debt : Banking & PSU
Sundaram Business Cycle Fund Reg(G),Ratish Varier,EQ-THEM,2.01,3.78,3.5,-1.4,-1.09,1.07,2.11,-1.19,-0.83,-4.84,Equity : Thematic
Sundaram Conservative Hybrid Fund(G),Dwijendra Srivastava,HY-DT(CO),2.28,0.22,-0.12,-0.34,-1.41,0.48,1.21,0.58,0.42,-0.65,Hybrid : Debt Oriented (Conservative)
Sundaram Consumption Fund(G),Ratish Varier,EQ-CONS,5.98,1.19,3.29,-1.19,1.43,-0.85,3.26,-0.87,-2.13,-7.38,Equity : Thematic - Consumption
Sundaram Corp Bond Fund(G),Dwijendra Srivastava,DT-CORP,1.44,1.04,0.06,0.6,-0.13,0.68,0.76,0.48,0.06,-0.08,Debt : Corporate Bond
Sundaram Dividend Yield Fund(G),Siddarth Mohta,EQ-DIV,2.32,1.54,2.34,-2.22,-1.55,1.91,3.75,0.71,0.1,-1.22,Equity : Thematic - Dividend Yield
Sundaram ELSS Tax Saver Fund Reg(G),S. Bharath,EQ-ELSS,3.34,2.76,2.93,-0.8,-0.84,-0.23,3.5,1.3,-0.12,-3.44,Equity : Tax Saving (ELSS)
Sundaram Equity Savings Fund(G),Clyton Richard Fernandes,HY-EQ,1.66,1.9,1.31,-0.53,-0.67,0.67,1.78,0.95,-0.43,-1.08,Hybrid : Equity Oriented
Sundaram Fin Serv Opp Fund(G),Rohit Seksaria,EQ-FIN,6.89,1.95,3.15,-3.87,-5.8,3.33,5.94,3.59,0.05,0.67,Equity : Sectoral - Financial Services
Sundaram Flexi Cap Fund Reg(G),S. Bharath,EQ-FLEX,3.2,2.97,3.03,-0.7,-0.92,-0.24,3.48,1.26,-0.12,-3.43,Equity : Flexi Cap
Sundaram Focused Fund(G),Ashwin Jain,EQ-FLEX,1.7,2.55,3.66,-0.83,-2.1,0.02,2.62,0.83,0.38,-3.59,Equity : Flexi Cap
Sundaram Global Brand Theme   Equity Active FoF(G),Shalav Saket,FOF-OVR,-1.17,6.39,3.85,2.72,2.46,3.94,3.47,0.53,1.96,1.7,FoFs : Overseas
Sundaram Infra Advantage Fund(G),Siddarth Mohta,EQ-INFRA,2.65,6.06,3.53,-1.7,-2.36,1.39,4.04,-0.09,-0.97,-2.69,Equity : Sectoral - Infrastructure
Sundaram Large and Mid Cap Fund(G),S. Bharath,EQ-L&M,2.89,2.15,3.56,-1.34,-1.46,1.41,4.28,0.88,-0.63,-3.33,Equity : Large & Mid Cap
Sundaram Large Cap Fund Reg(G),Ashwin Jain,EQ-LC,3.04,1.13,2.74,-1.57,-1.95,0.15,3.15,1.78,-0.02,-2.49,Equity : Large Cap
Sundaram Liquid Fund(G),Dwijendra Srivastava,DT-LIQ,0.58,0.55,0.49,0.47,0.47,0.46,0.47,0.47,0.49,0.43,Debt : Liquid
Sundaram Low Duration Fund(G),Sandeep Agarwal,DT-LOWD,0.89,0.67,0.51,0.55,0.34,0.5,0.48,0.45,0.36,0.13,Debt : Low Duration
Sundaram LT Micro Cap Tax Adv Fund Sr III Reg(G),Rohit Seksaria,EQ-ELSS,4.25,8.69,5.97,-2.36,-2.59,0.87,4.42,-1.18,-0.98,-3.54,Equity : Tax Saving (ELSS)
Sundaram LT Micro Cap Tax Adv Fund Sr IV Reg(G),Rohit Seksaria,EQ-ELSS,4.31,8.52,6.01,-2.27,-2.58,0.8,4.55,-0.99,-1.1,-3.3,Equity : Tax Saving (ELSS)
Sundaram LT Micro Cap Tax Adv Fund Sr V Reg(G),Rohit Seksaria,EQ-ELSS,4.1,8.39,6.31,-2.09,-2.76,0.91,4.42,-1.3,-0.61,-3.69,Equity : Tax Saving (ELSS)
Sundaram LT Micro Cap Tax Adv Fund Sr VI Reg(G),Rohit Seksaria,EQ-ELSS,4.28,8.26,6.23,-1.94,-2.84,0.64,4.25,-1.33,-0.9,-3.98,Equity : Tax Saving (ELSS)
Sundaram LT Tax Adv Fund Sr II Reg(G),Rohit Seksaria,EQ-ELSS,3.72,2.78,2.89,-2.22,-2.54,1.18,4.75,2.27,0.81,-1.7,Equity : Tax Saving (ELSS)
Sundaram LT Tax Adv Fund Sr III Reg(G),Rohit Seksaria,EQ-ELSS,4.18,7.87,5.7,-1.16,-2.37,1.14,4.72,-1.27,-0.53,-3.13,Equity : Tax Saving (ELSS)
Sundaram LT Tax Adv Fund Sr IV Reg(G),Rohit Seksaria,EQ-ELSS,4.11,7.55,6,-0.91,-2.22,1.09,4.71,-0.98,-0.69,-3.39,Equity : Tax Saving (ELSS)
Sundaram Medium Duration Fund(G),Dwijendra Srivastava,DT-MD,1.47,0.76,-0.06,0.29,-0.43,0.57,0.58,0.42,0.06,-0.01,Debt : Medium Duration
Sundaram Mid Cap Fund Reg(G),S. Bharath,EQ-MID,3.03,5.62,3.69,-1.5,-0.93,0.5,5.17,0.57,-0.63,-3.03,Equity : Mid Cap
Sundaram Money Market Fund Reg(G),Sandeep Agarwal,DT-MM,0.88,0.67,0.63,0.57,0.43,0.51,0.49,0.48,0.5,0.29,Debt : Money Market
Sundaram Multi Asset Allocation Fund Reg(G),Rohit Seksaria,HY-MULTI,4.01,1.21,2.03,-0.74,-0.42,3.42,3.47,2.07,0.19,2.62,Hybrid : Multi Asset Allocation
Sundaram Multi Cap Fund(G),Ratish Varier,EQ-MLC,2.02,4.31,3.17,-0.6,-1.33,0.86,4.29,-0.26,-0.81,-4.21,Equity : Multi Cap
Sundaram Multi Factor Fund Reg(G),Rohit Seksaria,EQ-THEM,-,-,-,-,-2.63,2.1,3.42,1.79,0.45,-2.56,Equity : Thematic
Sundaram Nifty 100 Equal Weight Fund(G),Rohit Seksaria,EQ-INDX,2.6,3.16,3.63,-2.79,-0.75,2.39,3.1,0,0.11,-2.19,Equity : Index Funds
Sundaram Overnight Fund Reg(G),Sandeep Agarwal,DT-ON,0.49,0.48,0.43,0.44,0.44,0.43,0.45,0.43,0.44,0.43,Debt : Overnight
Sundaram Services Fund Reg(G),Rohit Seksaria,EQ-THEM,6.16,3.62,5.3,-3.18,-2.07,1.03,4.46,0.81,-0.34,-4.03,Equity : Thematic
Sundaram Short Duration Fund(G),Dwijendra Srivastava,DT-SD,1.37,0.93,0.2,0.52,-0.08,0.68,0.63,0.5,0.22,0.11,Debt : Short Duration
Sundaram Small Cap Fund(G),Rohit Seksaria,EQ-SML,3.47,8.45,3.95,-1.13,-3.34,1.82,4.77,-1.32,-1.36,-3.35,Equity : Small Cap
Sundaram Ultra Short Duration Fund(G),Sandeep Agarwal,DT-USD,0.66,0.53,0.51,0.48,0.34,0.42,0.41,0.39,0.4,0.2,Debt : Ultra Short Duration
Sundaram Value Fund Reg(G),Rohit Seksaria,EQ-ELSS,3.42,2.44,3.28,-0.89,-1.13,-0.65,3.53,1.06,0.38,-3.18,Equity : Tax Saving (ELSS)
Tata Aggressive Hybrid Fund Reg(G),Satish Chandra Mishra,HY-EQ,2.3,1.85,1.84,-0.8,-1.63,0.72,3.58,0.79,0.69,-3.06,Hybrid : Equity Oriented
Tata Arbitrage Fund Reg(G),Sailesh Jain,HY-ARB,0.67,0.41,0.52,0.54,0.42,0.33,0.47,0.5,0.63,0.54,Hybrid : Arbitrage
Tata Balanced Adv Fund Reg(G),Rahul Singh (Tata),HY-DYN,1.53,1.68,1.93,-0.98,-1.3,0.65,2.89,0.88,0.02,-1.79,Hybrid : Dynamic Asset Allocation
Tata Banking & Financial Services Fund Reg(G),Kapil Malhotra,EQ-FIN,6.28,1.61,4.63,-4.23,-3.12,2.02,5.49,2.46,-0.55,-1.03,Equity : Sectoral - Financial Services
Tata BSE Multicap Consumption 50:30:20 Index Fund Reg(G),Nitin Sharma,EQ-INDX,-,-,-,-,-,-,-,-,-,-7.03,Equity : Index Funds
Tata BSE Quality Index Fund Reg(G),Nitin Sharma,EQ-INDX,-,4.99,4.29,-5.17,-0.7,0.82,2.74,0.71,1.04,-0.73,Equity : Index Funds
Tata BSE Select Business Groups Index Fund Reg(G),Nitin Sharma,EQ-INDX,2.09,3.61,4.12,-4.47,-0.59,1.88,6,1.24,0.63,-4.17,Equity : Index Funds
Tata BSE Sensex Index Fund Reg(G),Nitin Sharma,EQ-INDX,3.6,1.7,2.89,-2.8,-1.59,0.54,4.64,2.09,-0.53,-3.48,Equity : Index Funds
Tata Business Cycle Fund Reg(G),Rahul Singh (Tata),EQ-THEM,2.85,2.68,3.21,-1.87,-2.11,0.44,4.24,-0.27,-0.59,-3.77,Equity : Thematic
Tata Childrens Fund Reg(G),Rahul Singh (Tata),HY-SOL,4.3,3.4,3.04,-2.91,-2.73,-0.14,3.08,0.3,-0.42,-4.11,Hybrid : Solution Oriented
Tata Corp Bond Fund Reg(G),Murthy Nagarajan,DT-CORP,1.53,0.96,-0.21,0.61,-0.31,0.68,0.72,0.49,0.13,-0.1,Debt : Corporate Bond
Tata CRISIL IBX Gilt Index   April 2026 Index Fund Reg(G),Amit Somani,DT-MD,0.86,0.69,0.49,0.45,0.39,0.45,0.42,0.44,0.47,0.43,Debt : Medium Duration
Tata Digital India Fund Reg(G),Meeta Shetty,EQ-TECH,-0.38,5.58,3.94,-6.07,-0.21,-2.74,5.39,2.43,1.17,-1.99,Equity : Sectoral - Technology
Tata Dividend Yield Fund Reg(G),Sailesh Jain,EQ-DIV,3.21,4.28,4.09,-2.16,-2.71,2.22,5.56,0.62,0.16,-2.44,Equity : Thematic - Dividend Yield
Tata ELSS Fund Reg(G),Sailesh Jain,EQ-ELSS,1.75,4.4,3.11,-2.16,-2.57,2.01,4,2.02,-0.4,-3.51,Equity : Tax Saving (ELSS)
Tata Equity Savings Fund Reg(G),Sailesh Jain,HY-EQ,1.41,0.76,1.22,-0.37,-0.06,0.26,1.37,0.96,0.15,-0.71,Hybrid : Equity Oriented
Tata Ethical Fund Reg(G),Abhinav Sharma,EQ-THEM,1.55,2.32,2.36,-1.73,-0.47,-0.72,2,1.1,0.53,-2.14,Equity : Thematic
Tata Flexi Cap Fund Reg(G),Anand Sharma,EQ-FLEX,4.46,2.97,3.66,-2.68,-1.04,0.82,3.1,0.57,0.01,-3.44,Equity : Flexi Cap
Tata Floating Rate Fund Reg(G),Akhil Mittal,DT-FL,1.28,0.98,0.14,0.55,-0.28,0.69,0.86,0.59,0.3,0.18,Debt : Floater
Tata Focused Fund Reg(G),Anand Sharma,EQ-MLC,2.82,2.28,2.69,-0.97,-0.61,0.49,3.01,0.96,-0.88,-2.95,Equity : Multi Cap
Tata Gilt Securities Fund Reg(G),Akhil Mittal,DT-GILT,2.16,0.67,-1.05,0.47,-2.54,1.58,0.24,-0.23,0.64,-0.39,Debt : Gilt
Tata Gold ETF,Tapan Patel,GOLD-ETF,5.01,2.53,-0.67,3.83,3.03,12.27,4.99,4,6.75,20.92,Gold : ETFs
Tata Gold ETF FoF Reg(G),Tapan Patel,FOF-DOM,6.46,0.35,0.49,2.63,3.41,12.69,3.5,4.35,6,20.71,FoFs : Domestic
Tata Housing Opportunities Fund Reg(G),Murthy Nagarajan,EQ-THEM,2.21,5.63,3.88,-0.92,-3.02,-0.27,4.22,-1.24,-1.47,-2.98,Equity : Thematic
Tata Income Plus Arbitrage Active FOF Reg(G),Sailesh Jain,FOF-DOM,-,-,0.06,0.58,-0.02,0.55,0.63,0.5,0.32,0.16,FoFs : Domestic
Tata India Consumer Fund Reg(G),Sonam Udasi,EQ-CONS,4.63,1.96,2.96,0.71,0.85,-0.84,3.87,-0.67,-1.22,-5.5,Equity : Thematic - Consumption
Tata India Innovation Fund Reg(G),Meeta Shetty,EQ-THEM,1.12,4.63,3.8,-0.77,-0.31,-0.38,3.28,-0.19,-0.81,-4.49,Equity : Thematic
Tata India Pharma & Healthcare Fund Reg(G),Rajat Srivastava,EQ-PHRM,2.48,-0.37,3.27,3.39,-2.62,-1.33,2.41,0.59,-2.24,-5.52,Equity : Sectoral - Pharma
Tata Infrastructure Fund Reg(G),Abhinav Sharma,EQ-INFRA,1.17,7.55,3.15,-2.06,-3.48,1.33,2.06,-2.11,-1.2,-3.19,Equity : Sectoral - Infrastructure
Tata Large & Mid Cap Fund Reg(G),Chandraprakash Padiyar,EQ-L&M,2.21,2.69,3.48,-1.34,-3.39,-0.1,3.93,-0.49,-0.27,-5.88,Equity : Large & Mid Cap
Tata Large Cap Fund Reg(G),Abhinav Sharma,EQ-LC,2.35,2.23,2.74,-2.99,-1.04,2.24,4.13,1.16,0.14,-3.04,Equity : Large Cap
Tata Liquid Fund Reg(G),Amit Somani,DT-LIQ,0.59,0.55,0.51,0.49,0.47,0.47,0.48,0.47,0.5,0.44,Debt : Liquid
Tata Mid Cap Fund Reg(G),Satish Chandra Mishra,EQ-MID,2.64,3.62,5.02,-1.17,-2.03,0.89,4.12,1.67,0.31,-3.47,Equity : Mid Cap
Tata Money Market Fund Reg(G),Amit Somani,DT-MM,0.86,0.67,0.63,0.57,0.43,0.51,0.5,0.48,0.49,0.32,Debt : Money Market
Tata Multi Asset Allocation Fund Reg(G),Rahul Singh (Tata),HY-MULTI,2.55,2.45,2.2,-0.15,-0.65,2.26,3.39,1.63,1.9,-1.1,Hybrid : Multi Asset Allocation
Tata Multicap Fund Reg(G),Meeta Shetty,EQ-MLC,2.39,4.78,4.17,-1.81,-1.99,1.73,3.77,1.02,0.32,-2.21,Equity : Multi Cap
Tata Nifty 50 ETF,Nitin Sharma,EQ-ETF,3.47,1.92,3.35,-2.77,-1.21,0.77,4.62,1.9,-0.23,-3.04,Equity : ETFs
Tata NIFTY 50 Index Fund Reg(G),Nitin Sharma,EQ-INDX,3.42,1.88,3.31,-2.81,-1.25,0.71,4.57,1.86,-0.27,-3.08,Equity : Index Funds
Tata Nifty Auto Index Fund Reg(G),Nitin Sharma,EQ-AUTO,4.63,4.53,2.37,-0.66,5.75,6.2,0.98,3.41,1.39,-5.19,Equity : Sectoral - Auto
Tata Nifty Capital Markets Index Fund Reg(G),Nitin Sharma,EQ-INDX,9.22,13.98,10.96,-8.21,-5.7,1.13,9.27,5.54,-2.75,-0.16,Equity : Index Funds
Tata Nifty Financial Services Index Fund Reg(G),Nitin Sharma,EQ-INDX,3.93,1.52,2.84,-1.92,-3.94,1.67,4.21,2.7,-1.15,-1.16,Equity : Index Funds
Tata Nifty G Sec Dec 2026 Index Fund Reg(G),Amit Somani,DT-MD,1.09,0.86,0.5,0.42,0.4,0.42,0.43,0.52,0.44,0.45,Debt : Medium Duration
Tata Nifty G Sec Dec 2029 Index Fund Reg(G),Amit Somani,DT-M&LD,1.76,1.4,-0.18,0.49,-0.49,1.22,0.49,0.62,0.17,0.43,Debt : Medium to Long Duration
Tata Nifty India Digital ETF,Nitin Sharma,EQ-ETF,1.95,4.16,5.45,-3.53,-0.28,-1.93,6.49,1.92,-0.01,-3.95,Equity : ETFs
Tata Nifty India Digital ETF FoF Reg(G),Nitin Sharma,FOF-DOM,1.84,3.65,5.13,-3.13,-0.03,1.54,2.99,1.8,0.04,-3.99,FoFs : Domestic
Tata Nifty India Tourism Index Fund Reg(G),Nitin Sharma,EQ-INDX,4.67,-0.74,4.33,-1.72,-1.26,-2.47,0.99,1.17,-4.72,-10.55,Equity : Index Funds
Tata Nifty Midcap 150 Index Fund Reg(G),Nitin Sharma,EQ-INDX,-,-,-,-2.94,-2.84,1.23,4.72,1.57,-0.67,-3.61,Equity : Index Funds
Tata Nifty Midcap 150 Momentum 50 Index Fund Reg(G),Nitin Sharma,EQ-INDX,3.74,5.54,4.8,-4.27,-3.01,-1.27,5.36,2.67,-2.93,-2.33,Equity : Index Funds
Tata Nifty MidSmall Healthcare Index Fund Reg(G),Nitin Sharma,EQ-INDX,-0.22,0.99,5.29,4.2,-4.29,-0.57,2.1,0.27,-0.92,-4.97,Equity : Index Funds
Tata Nifty Next 50 Index Fund Reg(G),Nitin Sharma,EQ-INDX,-,-,-,-,-,-,-,-1.04,0.24,-2.27,Equity : Index Funds
Tata Nifty Pvt Bank ETF,Nitin Sharma,EQ-ETF,6.66,0.45,2.68,-4.03,-3.59,1.54,5.98,2.64,-0.23,-0.54,Equity : ETFs
Tata Nifty Realty Index Fund Reg(G),Nitin Sharma,EQ-INDX,3.96,7.03,3.72,-7.4,-4.81,-0.35,9.51,-4.8,-2.89,-10.91,Equity : Index Funds
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund Reg(G),Amit Somani,DT-M&LD,1.53,1.16,0.26,0.63,0.02,0.54,0.7,0.48,0.3,0.19,Debt : Medium to Long Duration
Tata Nifty200 Alpha 30 Index Fund Reg(G),Nitin Sharma,EQ-INDX,4.01,4.53,6.4,-3.97,-2.06,-1.51,4.95,2.39,-3.8,-2.43,Equity : Index Funds
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund Reg(G),Nitin Sharma,EQ-INDX,2.75,3.64,3.47,-1.3,-1.14,3.08,3.81,0.04,-0.12,-4.39,Equity : Index Funds
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund Reg(G),Nitin Sharma,EQ-INDX,3.66,3.6,4.41,-3.48,-3.13,1.78,5.5,-0.17,-0.65,-5.29,Equity : Index Funds
Tata Overnight Fund Reg(G),Amit Somani,DT-ON,0.48,0.48,0.43,0.44,0.45,0.43,0.45,0.43,0.44,0.44,Debt : Overnight
Tata Resources & Energy Fund Reg(G),Satish Chandra Mishra,EQ-POWER,1.61,3.17,4,-0.12,-3.35,2.71,2.94,-2.87,2.31,-1.3,Equity : Sectoral - Energy / Power
Tata Retirement Sav Fund   Cons Plan(G),Sonam Udasi,HY-SOL,2,1.93,1.26,-0.89,-0.97,0.44,1.35,0.49,-0.23,-0.95,Hybrid : Solution Oriented
Tata Retirement Sav Fund   Mod Plan(G),Sonam Udasi,HY-SOL,3,4.4,3.88,-3.54,-1.6,0.28,3.18,0.79,-0.82,-2.95,Hybrid : Solution Oriented
Tata Retirement Sav Fund   Prog Plan(G),Sonam Udasi,HY-SOL,3.3,5.39,4.52,-4.44,-1.93,-0.1,3.58,0.7,-1,-3.18,Hybrid : Solution Oriented
Tata Silver ETF,Tapan Patel,GOLD-ETF,-6.93,3.28,7.76,3.94,7.18,18.85,6.3,10.11,42.18,51.75,Gold : ETFs
Tata Silver ETF FoF Reg(G),Tapan Patel,FOF-DOM,-5.73,2.6,8.43,4.32,6.03,19.35,3.06,9.88,36.23,38.71,FoFs : Domestic
Tata Small Cap Fund Reg(G),Chandraprakash Padiyar,EQ-SML,-0.89,9.18,3.57,0.8,-3.77,0,-0.27,-4.5,-2.07,-5.6,Equity : Small Cap
Tata ST Bond Fund Reg(G),Amit Somani,DT-SD,1.31,0.86,0.09,0.5,-0.15,0.55,0.64,0.44,0.08,0.05,Debt : Short Duration
Tata Treasury Advantage Fund Reg(G),Akhil Mittal,DT-LOWD,0.92,0.72,0.56,0.55,0.29,0.54,0.55,0.49,0.39,0.2,Debt : Low Duration
Tata Ultra Short Term Fund Reg(G),Amit Somani,DT-USD,0.7,0.56,0.55,0.52,0.41,0.47,0.47,0.45,0.45,0.27,Debt : Ultra Short Duration
Tata Value Fund(G),Sonam Udasi,EQ-VAL,2.4,3.24,3.92,-2.59,-3.06,2.27,4.22,1.82,0.55,-2.66,Equity : Value / Contra
Taurus Banking & Fin Serv Fund Reg(G),Anuj Kapil,EQ-FIN,5.07,2.55,2.41,-2.51,-3.73,2.18,3.81,1.49,-1.54,-1.71,Equity : Sectoral - Financial Services
Taurus ELSS Tax Saver Fund Reg(G),Anuj Kapil,EQ-ELSS,0.87,3.92,4.19,-2.69,-2.48,0.49,3.48,-0.67,-1.83,-4.35,Equity : Tax Saving (ELSS)
